"STATE","COUNTY","STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","H_MALE","H_FEMALE","white_alone_perc","black_alone_perc","american_indian_alone_perc","asian_alone_perc","hispanic_perc"
35,5,"New Mexico","Chaves County",64615,32108,32507,29440,29917,798,775,836,718,339,432,18658,18718,0.918625706105394,0.0243441925249555,0.024050143155614,0.0119322138822255,0.57844153834249
35,6,"New Mexico","Cibola County",26675,13660,13015,7488,6303,209,180,5559,6148,68,87,5732,4529,0.517000937207123,0.0145829428303655,0.438875351452671,0.00581068416119962,0.384667291471415
35,7,"New Mexico","Colfax County",11941,6070,5871,5586,5527,65,48,215,129,53,41,3040,2836,0.930659073779415,0.00946319403735031,0.0288083075119337,0.00787203751779583,0.492086089942216
35,9,"New Mexico","Curry County",48954,25370,23584,21693,20214,1845,1557,543,507,423,470,10904,10351,0.856048535359725,0.0694938105159946,0.0214487069493811,0.0182416145769498,0.434183110675328
35,11,"New Mexico","De Baca County",1748,867,881,794,816,9,7,26,13,2,6,398,405,0.921052631578947,0.0091533180778032,0.0223112128146453,0.0045766590389016,0.459382151029748
35,13,"New Mexico","Doña Ana County",218195,106877,111318,97886,102482,2922,2350,2496,2628,1366,1515,72665,77368,0.918297852838058,0.0241618735534728,0.0234835812003025,0.0132037856046197,0.687609706913541
35,15,"New Mexico","Eddy County",58460,29570,28890,27261,26943,723,453,747,676,240,280,14825,14723,0.92719808416011,0.0201163188504961,0.0243414300376326,0.00889497092028738,0.505439616832022
35,17,"New Mexico","Grant County",26998,13286,13712,12316,12736,226,144,314,355,95,140,6625,6983,0.927920586710127,0.0137047188680643,0.0247796133046892,0.00870434847025706,0.50403733609897
35,19,"New Mexico","Guadalupe County",4300,2445,1855,2179,1707,88,17,90,59,25,32,1892,1490,0.903720930232558,0.0244186046511628,0.0346511627906977,0.0132558139534884,0.786511627906977
35,21,"New Mexico","Harding County",625,319,306,302,291,2,2,11,7,0,2,155,138,0.9488,0.0064,0.0288,0.0032,0.4688
35,23,"New Mexico","Hidalgo County",4198,2086,2112,1962,2006,40,37,34,29,15,9,1221,1213,0.945212005717008,0.0183420676512625,0.0150071462601239,0.00571700809909481,0.579799904716532
